,title,tags,movieId,imdbId,tmdbId
0,"""Great Performances"" Cats (1998)","['musical', 'dancing', 'music', 'stage', 'magic', 'broadway', 'dance', 'original', 'visually', 'appealing', 'great', 'music', 'good', 'music']",51372,173714,26598.0
1,$9.99 (2008),"['stop', 'motion', 'claymation', 'stop-motion', 'mentor', 'loneliness', 'surreal', 'australia', 'homeless', 'cult', 'classic', 'hip', 'hop']",74486,790799,19311.0
2,'71 (2014),"['irish', 'intense', 'brutality', 'brutal', 'british', 'ireland', 'irish', 'accent', 'bombs', 'civil', 'war', 'grim']",117867,2614684,252178.0
3,'Round Midnight (1986),"['jazz', 'musicians', 'paris', 'music', 'musical', 'drinking', 'biopic', 'addiction', 'great', 'melancholic']",26564,90557,14670.0
4,'Til There Was You (1997),"['romantic', 'destiny', 'romantic', 'comedy', 'romance', 'love', 'story', 'relationships', 'happy', 'ending', 'sweet', 'original', 'good', 'romantic', 'comedies']",779,118523,32872.0
5,"'burbs, The (1989)","['suburbia', 'comedy', 'weird', 'quirky', 'cult', 'film', '80s', 'original', 'dark', 'comedy', 'black', 'comedy', 'fun', 'movie']",2072,96734,11974.0
6,'night Mother (1986),"['life', 'philosophy', 'relationships', 'original', 'destiny', 'vengeance', 'love', 'loneliness', 'women', 'unlikely', 'friendships', 'depression']",3112,90556,34760.0
7,(500) Days of Summer (2009),"['relationships', 'love', 'story', 'romantic', 'comedy', 'love', 'bittersweet', 'romantic', 'romance', 'destiny', 'chick', 'flick', 'original']",69757,1022603,19913.0
8,*batteries not included (1987),"['alien', 'feel-good', 'sweet', 'spielberg', 'cute', 'aliens', 'feel', 'good', 'movie', 'good', 'children', 'sentimental']",8169,92494,11548.0
9,...And Justice for All (1979),"['lawyers', 'lawyer', 'courtroom', 'drama', 'corruption', 'courtroom', 'drama', 'justice', 'court', 'rape', 'mentor']",3420,78718,17443.0
10,1-900 (06) (1994),"['intimate', 'erotic', 'obsession', 'classic', 'car', 'sexy', 'original', 'pornography', 'very', 'interesting', 'nudity', '(topless', '-', 'notable)', 'melancholic']",889,109001,101230.0
11,10 (1979),"['midlife', 'crisis', 'nudity', '(topless', '-', 'notable)', 'sexy', 'sexual', 'comedy', 'original', 'obsession', 'sex', 'comedy', 'fantasy', 'pornography']",6658,78721,9051.0
12,10 Items or Less (2006),"['independent', 'film', 'unlikely', 'friendships', 'life', 'original', 'dialogue', 'driven', 'indie', 'mentor', 'life', '&', 'death', 'feel-good', 'bittersweet']",49284,499603,2357.0
13,10 Rillington Place (1971),"['police', 'investigation', 'serial', 'killer', 'murder', 'death', 'penalty', 'crime', 'justice', 'gunfight', 'disturbing', 'greed', 'guilt']",8017,66730,26234.0
14,10 Things I Hate About You (1999),"['teen', 'movie', 'teen', 'girlie', 'movie', 'high', 'school', 'teenager', 'teenagers', 'teens', 'geeks', 'shakespeare', 'chick', 'flick']",2572,147800,4951.0
15,10 Years (2011),"['high', 'school', 'drinking', 'melancholic', 'original', 'life', 'philosophy', 'cult', 'classic', 'drama', 'happy', 'ending', 'adolescence', 'predictable']",98230,1715873,58547.0
16,10 to Midnight (1983),"['vigilante', 'original', 'nudity', '(topless)', 'pornography', 'vigilantism', '1980s', 'serial', 'killer', 'male', 'nudity', 'brutality', 'mentor']",6168,85121,18587.0
17,"10,000 BC (2008)","['ethnic', 'conflict', 'big', 'budget', 'special', 'effects', 'visually', 'appealing', 'fantasy', 'egypt', 'bad', 'plot', 'bad', 'acting', 'cgi', 'action']",58293,443649,7840.0
18,100 Girls (2000),"['teen', 'movie', 'girlie', 'movie', 'teen', 'women', 'romantic', 'comedy', 'teens', 'virginity', 'stereotypes', 'islam', 'pg-13']",7541,214388,10035.0
19,101 Dalmatians (1996),"['animals', 'cartoon', 'animal', 'movie', 'cute!', 'disney', 'dog', 'dogs', 'fun', 'remake', 'cute']",1367,115433,11674.0
20,101 Dalmatians (One Hundred and One Dalmatians) (1961),"['kids', 'and', 'family', 'animation', 'animals', 'cartoon', 'disney', 'animated', 'feature', 'talking', 'animals', 'dog', 'animated', 'dogs', 'cute']",2085,55254,12230.0
21,101 Reykjavik (101 Reykjavík) (2000),"['relationships', 'coming', 'of', 'age', 'male', 'nudity', 'nudity', '(full', 'frontal', '-', 'notable)', 'original', 'spanish', 'coming-of-age', 'good', 'soundtrack', 'melancholic', 'social', 'commentary']",6344,237993,10989.0
22,102 Dalmatians (2000),"['dog', 'dogs', 'sequel', 'cute!', 'sequels', 'family', 'cute', 'animals', 'children', 'crappy', 'sequel']",3991,211181,10481.0
23,"10th Kingdom, The (2000)","['modern', 'fantasy', 'fairy', 'tales', 'fantasy', 'fairy', 'tale', 'magic', 'adventure', 'fantasy', 'world', 'imagination', 'series', 'original']",27251,207275,110147.0
24,"10th Victim, The (La decima vittima) (1965)","['futuristic', 'stylish', 'rome', 'cult', 'film', 'satirical', 'criterion', 'original', 'scifi', 'art', 'irreverent']",4434,59095,65632.0
25,"11'09""01 - September 11 (2002)","['terrorism', '9/11', 'israel', 'islam', 'politics', 'bombs', 'iran', 'political', 'life', '&', 'death', 'greed']",7789,328802,1926.0
26,11:14 (2003),"['weird', 'dark', 'comedy', 'great', 'ending', 'storytelling', 'multiple', 'storylines', 'drama', 'original', 'complex', 'good', 'soundtrack', 'story']",27674,331811,9282.0
27,12 Angry Men (1957),"['imdb', 'top', '250', 'great', 'acting', 'masterpiece', 'dramatic', 'claustrophobic', 'drama', 'courtroom', 'social', 'commentary', 'dialogue', 'driven', 'court']",1203,50083,389.0
28,12 Angry Men (1997),"['great', 'acting', 'original', 'dramatic', 'drama', 'justice', 'oscar', '(best', 'directing)', 'talky', 'culture', 'clash', 'remake', 'based', 'on', 'a', 'play']",77846,118528,12219.0
29,12 Rounds (2009),"['action', 'good', 'action', 'car', 'chase', 'action', 'packed', 'chase', 'kidnapping', 'bad', 'acting', 'revenge', 'police', 'explosions']",70361,1160368,17134.0
30,12 Years a Slave (2013),"['slavery', 'imdb', 'top', '250', 'oscar', '(best', 'picture)', 'oscar', '(best', 'supporting', 'actor)', 'history', 'oscar', 'cinematography', 'drama', 'brutal', 'brutality']",105844,2024544,76203.0
31,127 Hours (2010),"['true', 'story', 'survival', 'intense', 'based', 'on', 'a', 'true', 'story', 'based', 'on', 'true', 'story', 'cinematography', 'imdb', 'top', '250', 'loneliness', 'life', '&', 'death', 'wilderness']",81562,1542344,44115.0
32,13 (2010),"['remake', 'greed', 'original', 'gambling', 'money', 'police', 'investigation', 'bad', 'ending', 'pointless', 'plot', 'betrayal']",82244,798817,44982.0
33,13 Assassins (Jûsan-nin no shikaku) (2010),"['sword', 'fight', 'japan', 'samurai', 'sword', 'fighting', 'violence', 'bloody', 'violent', 'fight', 'scenes', 'original', 'masterpiece']",86142,1436045,58857.0
34,13 Ghosts (1960),"['ghosts', 'ghosts/afterlife', 'haunted', 'house', 'supernatural', 'creepy', 'special', 'effects', 'original', 'bad', 'acting', 'silly', 'fun', 'witch']",4792,53559,29756.0
35,13 Going on 30 (2004),"['girlie', 'movie', 'chick', 'flick', 'romantic', 'comedy', 'teen', 'movie', 'fashion', 'feel-good', 'cute', 'cute!', 'sweet', 'childhood']",7444,337563,10096.0
36,13 Rue Madeleine (1947),"['espionage', 'world', 'war', 'ii', 'spying', 'wwii', 'spy', 'spies', 'germany', 'nazis', 'wartime', 'nazi']",6437,38279,18200.0
37,13 Sins (2014),"['horror', 'plot', 'twist', 'twists', '&', 'turns', 'greed', 'gore', 'twist', 'ending', 'twist', 'splatter', 'great', 'ending', 'suspense']",110286,2059171,155084.0
38,13 Tzameti (2005),"['tense', 'violence', 'black', 'and', 'white', 'bleak', 'drama', 'violent', 'police', 'investigation', 'original', 'intense', 'dark']",48872,475169,6077.0
39,"13th Warrior, The (1999)","['based', 'on', 'a', 'book', 'big', 'budget', 'mythology', 'adventure', 'action', 'medieval', 'based', 'on', 'book', 'high', 'fantasy', 'fight', 'scenes', 'fantasy']",2826,120657,1911.0
40,1408 (2007),"['horror', 'supernatural', 'creepy', 'scary', 'hotel', 'ghosts', 'psychological', 'based', 'on', 'a', 'book', 'claustrophobic', 'suspense']",53953,450385,3021.0
41,1492: Conquest of Paradise (1992),"['historical', 'history', 'us', 'history', 'latin', 'america', 'genocide', 'indians', 'greed', 'drama', 'dramatic', 'destiny']",8905,103594,1492.0
42,15 Minutes (2001),"['violence', 'gratuitous', 'violence', 'murder', 'suspense', 'violent', 'crime', 'detective', 'brutality', 'corruption', 'serial', 'killer']",4167,179626,2749.0
43,16 Blocks (2006),"['police', 'corruption', 'police', 'corruption', 'good', 'action', 'action', 'chase', 'fast', 'paced', 'pg-13', 'action', 'packed', 'thriller']",43936,450232,2207.0
44,17 Again (2009),"['teen', 'movie', 'high', 'school', 'teen', 'teens', 'geeks', 'teenagers', 'teenager', 'cheerleading', 'girlie', 'movie', 'romantic', 'comedy']",68135,974661,16996.0
45,1776 (1972),"['musical', 'historical', 'history', 'music', 'broadway', 'slavery', 'us', 'history', 'good', 'music', 'dancing', 'original']",5472,68156,14902.0
46,18 Again! (1988),"['comedy', '80s', 'original', 'mentor', 'predictable', 'fantasy', 'fun', 'movie', 'great', 'dreams', 'silly', 'fun']",4462,94593,38965.0
47,187 (One Eight Seven) (1997),"['teacher', 'high', 'school', 'violence', 'school', 'gangs', 'teen', 'bullying', 'awesome', 'soundtrack', 'brutality', 'gangsters']",1609,118531,6072.0
48,1900 (Novecento) (1976),"['fascism', 'nudity', '(full', 'frontal', '-', 'notable)', 'long', 'masterpiece', 'political', 'criterion', 'male', 'nudity', 'golden', 'palm', 'nudity', '(full', 'frontal)', 'cinematography']",26359,74084,3870.0
49,1941 (1979),"['comedy', 'goofy', 'wartime', 'parody', 'original', 'spielberg', 'silly', 'very', 'funny', 'saturday', 'night', 'live', '70mm']",7104,78723,11519.0
50,1969 (1988),"['robert', 'downey', 'jr', 'original', 'pg-13', 'family', 'good', 'drugs', 'powerful', 'ending', 'war', 'good', 'soundtrack', 'predictable']",4463,94594,47817.0
51,1984 (1956),"['george', 'orwell', 'surveillance', 'dystopia', 'adapted', 'from:book', 'futuristic', 'literature', 'original', 'based', 'on', 'a', 'book', 'adaptation', 'rebellion']",62049,48918,1984.0
52,1984 (Nineteen Eighty-Four) (1984),"['adapted', 'from:book', 'george', 'orwell', 'dystopia', 'based', 'on', 'book', 'surveillance', 'based', 'on', 'a', 'book', 'book', 'literary', 'adaptation', 'fighting', 'the', 'system', 'rebellion']",2117,87803,9314.0
