,title,imdbId,tmdbId
0,Toy Story (1995),114709,862.0
1,Jumanji (1995),113497,8844.0
2,Grumpier Old Men (1995),113228,15602.0
3,Waiting to Exhale (1995),114885,31357.0
4,Father of the Bride Part II (1995),113041,11862.0
5,Heat (1995),113277,949.0
6,Sabrina (1995),114319,11860.0
7,Tom and Huck (1995),112302,45325.0
8,Sudden Death (1995),114576,9091.0
9,GoldenEye (1995),113189,710.0
10,"American President, The (1995)",112346,9087.0
11,Dracula: Dead and Loving It (1995),112896,12110.0
12,Balto (1995),112453,21032.0
13,Nixon (1995),113987,10858.0
14,Cutthroat Island (1995),112760,1408.0
15,Casino (1995),112641,524.0
16,Sense and Sensibility (1995),114388,4584.0
17,Four Rooms (1995),113101,5.0
18,Ace Ventura: When Nature Calls (1995),112281,9273.0
19,Money Train (1995),113845,11517.0
20,Get Shorty (1995),113161,8012.0
21,Copycat (1995),112722,1710.0
22,Assassins (1995),112401,9691.0
23,Powder (1995),114168,12665.0
24,Leaving Las Vegas (1995),113627,451.0
25,Othello (1995),114057,16420.0
26,Now and Then (1995),114011,9263.0
27,Persuasion (1995),114117,17015.0
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",112682,902.0
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),115012,37557.0
30,Dangerous Minds (1995),112792,9909.0
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),114746,63.0
32,Wings of Courage (1995),114952,78802.0
33,Babe (1995),112431,9598.0
34,Carrington (1995),112637,47018.0
35,Dead Man Walking (1995),112818,687.0
36,Across the Sea of Time (1995),112286,139405.0
37,It Takes Two (1995),113442,33689.0
38,Clueless (1995),112697,9603.0
39,"Cry, the Beloved Country (1995)",112749,34615.0
40,Richard III (1995),114279,31174.0
41,Dead Presidents (1995),112819,11443.0
42,Restoration (1995),114272,35196.0
43,Mortal Kombat (1995),113855,9312.0
44,To Die For (1995),114681,577.0
45,How to Make an American Quilt (1995),113347,11861.0
46,Seven (a.k.a. Se7en) (1995),114369,807.0
47,Pocahontas (1995),114148,10530.0
48,When Night Is Falling (1995),114916,8391.0
49,"Usual Suspects, The (1995)",114814,629.0
50,Guardian Angel (1994),109950,117164.0
51,Mighty Aphrodite (1995),113819,11448.0
52,Lamerica (1994),110299,49133.0
53,"Big Green, The (1995)",112499,26441.0
54,Georgia (1995),113158,97406.0
55,Kids of the Round Table (1995),113541,124057.0
56,Home for the Holidays (1995),113321,9089.0
57,"Postman, The (Postino, Il) (1994)",110877,11010.0
58,"Confessional, The (Confessionnal, Le) (1995)",112714,99040.0
59,"Indian in the Cupboard, The (1995)",113419,11359.0
60,Eye for an Eye (1996),116260,17182.0
61,Mr. Holland's Opus (1995),113862,2054.0
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),116126,10607.0
63,Two if by Sea (1996),118002,19760.0
64,Bio-Dome (1996),115683,9536.0
65,Lawnmower Man 2: Beyond Cyberspace (1996),116839,11525.0
66,Two Bits (1995),114753,40628.0
67,French Twist (Gazon maudit) (1995),113149,4482.0
68,Friday (1995),113118,10634.0
69,From Dusk Till Dawn (1996),116367,755.0
70,Fair Game (1995),113010,11859.0
71,Kicking and Screaming (1995),113537,28387.0
72,"Misérables, Les (1995)",113828,48750.0
73,Bed of Roses (1996),115644,20927.0
74,Big Bully (1996),115676,36929.0
75,Screamers (1995),114367,9102.0
76,Nico Icon (1995),113973,124626.0
77,"Crossing Guard, The (1995)",112744,27526.0
78,"Juror, The (1996)",116731,9623.0
79,"White Balloon, The (Badkonake sefid) (1995)",112445,46785.0
80,Things to Do in Denver When You're Dead (1995),114660,400.0
81,Antonia's Line (Antonia) (1995),112379,880.0
82,Once Upon a Time... When We Were Colored (1995),114039,146599.0
83,Last Summer in the Hamptons (1995),113612,188588.0
84,Angels and Insects (1995),112365,8447.0
85,White Squall (1996),118158,10534.0
86,Dunston Checks In (1996),116151,17414.0
87,Black Sheep (1996),115697,13997.0
88,Nick of Time (1995),113972,2086.0
89,"Journey of August King, The (1995)",113490,61548.0
90,Mary Reilly (1996),117002,9095.0
91,Vampire in Brooklyn (1995),114825,12158.0
92,Beautiful Girls (1996),115639,9283.0
93,Broken Arrow (1996),115759,9208.0
94,In the Bleak Midwinter (1995),113403,40154.0
95,"Hate (Haine, La) (1995)",113247,406.0
96,Shopping (1994),111173,45549.0
97,Heidi Fleiss: Hollywood Madam (1995),113283,63076.0
98,City Hall (1996),115907,11062.0
99,Bottle Rocket (1996),115734,13685.0
100,Mr. Wrong (1996),117102,47475.0
101,Unforgettable (1996),118040,2045.0
102,Happy Gilmore (1996),116483,9614.0
103,"Bridges of Madison County, The (1995)",112579,688.0
104,Nobody Loves Me (Keiner liebt mich) (1994),110251,11907.0
105,Muppet Treasure Island (1996),117110,10874.0
106,Catwalk (1996),112646,89333.0
107,Headless Body in Topless Bar (1995),113276,96357.0
108,Braveheart (1995),112573,197.0
109,Taxi Driver (1976),75314,103.0
110,Rumble in the Bronx (Hont faan kui) (1995),113326,33542.0
111,Before and After (1996),115645,43566.0
112,Margaret's Museum (1995),113774,71754.0
113,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",112556,43612.0
114,Anne Frank Remembered (1995),112373,51352.0
115,"Young Poisoner's Handbook, The (1995)",115033,16934.0
116,If Lucy Fell (1996),116606,10324.0
117,"Steal Big, Steal Little (1995)",114536,78406.0
118,Race the Sun (1996),117427,55731.0
119,"Boys of St. Vincent, The (1992)",106473,32119.0
120,Boomerang (1992),103859,11066.0
121,Chungking Express (Chung Hing sam lam) (1994),109424,11104.0
122,"Star Maker, The (Uomo delle stelle, L') (1995)",114808,37975.0
123,Flirting With Disaster (1996),116324,2074.0
124,"NeverEnding Story III, The (1994)",110647,27793.0
125,"Silences of the Palace, The (Saimt el Qusur) (1994)",111055,44284.0
126,Jupiter's Wife (1994),110217,290157.0
127,Pie in the Sky (1996),114131,110972.0
128,Angela (1995),112364,32622.0
129,Frankie Starlight (1995),113107,73067.0
130,Jade (1995),113451,11863.0
131,Nueba Yol (1995),114015,55475.0
132,Sonic Outlaws (1995),114500,124636.0
133,Down Periscope (1996),116130,9101.0
134,From the Journals of Jean Seberg (1995),113125,123360.0
135,Man of the Year (1995),113756,5757.0
136,"Neon Bible, The (1995)",113952,39428.0
137,Target (1995),114618,124639.0
138,Up Close and Personal (1996),118055,9302.0
139,"Birdcage, The (1996)",115685,11000.0
140,Shadows (Cienie) (1988),94878,
141,Gospa (1995),113200,249882.0
142,"Brothers McMullen, The (1995)",112585,16388.0
143,Bad Boys (1995),112442,9737.0
144,"Amazing Panda Adventure, The (1995)",112342,30765.0
145,"Basketball Diaries, The (1995)",112461,10474.0
146,"Awfully Big Adventure, An (1995)",112427,22279.0
147,Amateur (1994),109093,30157.0
148,Apollo 13 (1995),112384,568.0
149,Rob Roy (1995),114287,11780.0
150,"Addiction, The (1995)",112288,34996.0
151,Batman Forever (1995),112462,414.0
152,Beauty of the Day (Belle de jour) (1967),61395,649.0
153,Beyond Rangoon (1995),112495,1873.0
154,Blue in the Face (1995),112541,5894.0
155,Canadian Bacon (1995),109370,1775.0
156,Casper (1995),112642,8839.0
157,Clockers (1995),112688,20649.0
158,Congo (1995),112715,10329.0
159,Crimson Tide (1995),112740,8963.0
160,Crumb (1994),109508,26564.0
161,Desperado (1995),112851,8068.0
162,Devil in a Blue Dress (1995),112857,8512.0
163,Die Hard: With a Vengeance (1995),112864,1572.0
164,"Doom Generation, The (1995)",112887,13552.0
165,Feast of July (1995),113044,259209.0
166,First Knight (1995),113071,6520.0
167,Free Willy 2: The Adventure Home (1995),113114,9073.0
168,Hackers (1995),113243,10428.0
169,Jeffrey (1995),113464,17447.0
170,Johnny Mnemonic (1995),113481,9886.0
171,Judge Dredd (1995),113492,9482.0
172,Jury Duty (1995),113500,19326.0
173,Kids (1995),113540,9344.0
174,Living in Oblivion (1995),113677,9071.0
175,Lord of Illusions (1995),113690,8973.0
176,Love & Human Remains (1993),107447,15730.0
177,Mad Love (1995),113729,47608.0
178,Mallrats (1995),113749,2293.0
179,Mighty Morphin Power Rangers: The Movie (1995),113820,9070.0
180,Moonlight and Valentino (1995),113851,68274.0
181,Mute Witness (1994),110604,48787.0
182,Nadja (1994),110620,34574.0
183,"Net, The (1995)",113957,1642.0
184,Nine Months (1995),113986,11472.0
185,Party Girl (1995),114095,36196.0
186,"Prophecy, The (1995)",114194,11980.0
187,Reckless (1995),114241,58372.0
188,Safe (1995),114323,32646.0
189,"Scarlet Letter, The (1995)",114345,10533.0
190,"Show, The (1995)",114435,56088.0
191,Showgirls (1995),114436,10802.0
192,Smoke (1995),114478,10149.0
193,Something to Talk About (1995),114496,18402.0
194,Species (1995),114508,9348.0
195,"Stars Fell on Henrietta, The (1995)",114534,139408.0
196,Strange Days (1995),114558,281.0
197,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",58450,5967.0
198,"Tie That Binds, The (1995)",114666,79593.0
199,Three Wishes (1995),114663,47939.0
200,Total Eclipse (1995),114702,36834.0
201,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",114682,9090.0
202,Under Siege 2: Dark Territory (1995),114781,3512.0
203,Unstrung Heroes (1995),114798,52856.0
204,Unzipped (1995),114805,77350.0
205,"Walk in the Clouds, A (1995)",114887,9560.0
206,Waterworld (1995),114898,9804.0
207,White Man's Burden (1995),114928,31611.0
208,Wild Bill (1995),114938,65796.0
209,"Browning Version, The (1994)",109340,49805.0
210,Bushwhacked (1995),112602,26258.0
211,Burnt by the Sun (Utomlyonnye solntsem) (1994),111579,50797.0
212,Before the Rain (Pred dozhdot) (1994),110882,19155.0
213,Before Sunrise (1995),112471,76.0
214,Billy Madison (1995),112508,11017.0
215,"Babysitter, The (1995)",112438,37141.0
216,Boys on the Side (1995),112571,9382.0
217,"Cure, The (1995)",112757,6715.0
218,Castle Freak (1995),112643,18256.0
219,Circle of Friends (1995),112679,22625.0
220,Clerks (1994),109445,2292.0
221,Don Juan DeMarco (1995),112883,1909.0
222,Disclosure (1994),109635,8984.0
223,Dream Man (1995),112899,61813.0
224,Drop Zone (1994),109676,4954.0
225,Destiny Turns on the Radio (1995),112854,62488.0
226,Death and the Maiden (1994),109579,10531.0
227,Dolores Claiborne (1995),109642,11929.0
228,Dumb & Dumber (Dumb and Dumber) (1994),109686,8467.0
